Serial Number,Title,Paragraph
44,அத்தி பர்வதம்,"அத்தி பர்வதம் (Hathi Parbat, இந்தி: हाथी पर्बत   ) எலிஃபண்ட் பீக் என்றும் அழைக்கப்படுவது இந்தியாவில் உள்ள கர்வால் இமயமலையில் உள்ள ஒரு மலையாகும். இது உத்தரகண்ட்ட மாநிலத்தின் சாமோலி மாவட்டத்தில் அமைந்துள்ளது. இதன் உச்சி 6,727 மீட்டர்கள் (22,070 ft) ) உயரம் கொண்டது."
45,புஞ்சா ஜாயா,புன்சாக் ஜெயா அல்லது ஜெய விஜயா மலை (Puncak Jaya) இந்தோனேசியா நாட்டின் மேற்கு பாப்புவா தீவு மாகாணத்தில் உள்ள சுதிர்மான் மலைத்தொடரில் அமைந்த புஞ்சாக் ஜெயா சிகரம் 4884 மீட்டர் உயரத்தில் உள்ளது. இம்மலை எரிமலை வகையைச் சேர்ந்தது. பனிபடர்ந்த இச்சிகரம் உலகின் ஏழு கொடுமுடிகளில் ஒன்றாகும். இந்தியாவின் மாலவத் பூர்ணா பனிபடர்ந்த புன்சாக் ஜெயா சிகரத்தை கடந்து எழு கொமுடிகளை கடந்தவர் எனப்பெயர் பெற்றவர்.
46,சினாபுங்,"சினாபுங் (Sinabung, இந்தோனேசியம்: Gunung Sinabung) என்பது இந்தோனேசியாவின் சுமாத்திராப் பகுதியில் அமைந்துள்ள ஒரு சுழல்வடிவ எரிமலை ஆகும். மெதான் என்ற சுமாத்திராவின் முக்கிய நகரத்தில் இருந்து தென்மேற்கே 60 கிமீ தூரத்தில் அமைந்துள்ளது. இந்த எரிமலை வெடித்ததற்கான ஆதாரபூர்வமான தகவல்கள் இது முதற்தடவையாக 2010, ஆகத்து 29 இல் வெடிக்கும் வரை பதியப்பட்டிருக்கவில்லை[1]."
47,ஒலிவ மலை,"ஒலிவ மலை (Mount of Olives அல்லது Mount Olivet, எபிரேயம்: הַר הַזֵּיתִים, Har HaZeitim; அரபு மொழி: جبل الزيتون, الطور, Jabal az-Zaytūn, Aț-Țūr) என்பது எருசலேம் பழைய நகருடன் கிழக்கிலிருந்து இணையும் மலைத் தொடராகும்.[1] இதன் சரிவுப் பகுதிகளை ஒலிவ மரங்கள் மூடியிருந்ததால் இதற்கு ஒலிவ மலை என்ற பெயர் கிடைத்தது. இதன் தென் பகுதி பண்டைய யூதேய அரசின் இடுகாடாகவிருந்தது.[2] இம்மலை யூதப் பாரம்பரியத்தின் மத்தியமாகவிருக்கிறது. இது 3,000 வருடங்களாக யூதர்களின் இடுகாடாக இருந்து வந்து, கிட்டத்தட்ட 150,000 சமாதிகளைக் கொண்டுள்ளது.[3] இயேசுவின் வாழ்வின் சில முக்கிய சம்பவங்கள் நற்செய்திகளில் தொடர்புள்ளவாறு இங்கு இடம்பெற்றுள்ளன. திருத்தூதர் பணிகள் இங்கிருந்துதான் இயேசு விண்ணகம் சென்றார் எனக் குறிப்பிடுகின்றது. இயேசுவுடனும் மரியாளுடனும் இப்பகுதி தொடர்பு பெறுவதால் பண்டைய காலந்தொட்டு இன்று முதல் கிறித்தவர்களின் வழிபாட்டுத்தளமாகவும் கிழக்கு, கத்தோலிக்க, புரட்டஸ்தாந்து கிறித்தவர்களின் முக்கிய யாத்திரைத்தளமாகவும் இது விளங்குகின்றது."
48,எர்சில் மலை,"எர்சில் மலை (Mount Herzl, எபிரேயம்: הר הרצל‎), மேலும் Har HaZikaron (எபிரேயம்: הר הזכרון‎ நேரடி மொழிபெயர்ப்பு: ""நினைவு கூரல் மலை"") இசுரேலின் தேசியக் இடுகாட்டையும் மற்ற நினைவக, கல்வி அமைப்புக்களையும் உள்ளடக்கி எருசலத்தின்  மேற்குப் பகுதியில் எருசலக் காடுகளை அடுத்து அமைந்துள்ள பகுதியாகும். தற்கால அரசியல் சீயோனிச நிறுவனரான  தியோடர் எர்சில் நினைவாகப் பெயர் சூட்டப்பட்டுள்ளது.  குன்றின் சிகரத்தில் எர்சிலின்  கல்லறை உள்ளது. பெரும் இன அழிப்பின் நினைவுச் சின்னமான யாட் வசெம், எர்சில் மலைக்கு மேற்கே உள்ளது.  போரில் இறந்த இசுரேலிய வீரர்கள் இங்கு அடக்கம் செய்யப்படுகின்றனர்[1][2]."
49,மச்சபூச்சர மலை,"மச்சபூச்சரம் (Machapuchare),   வடமத்திய நேபாளத்தில், இமயமலை மலத்தொடரில் அன்னபூர்னாவிற்கு தெற்கில் இரட்டை உச்சிககளுடன் கூடிய மலையாகும். நேபாள மக்கள்,  இம்மலையை சிவபெருமானின் உறைவிடம் எனக் கருதுவதால், இம்மலையில் மக்கள் ஏறுவதற்கு அனுமதி மறுக்கப்பட்டுள்ளது.[1]"
50,லைகாபெட்டஸ் மலை,"லைகாபெட்டஸ் மலை (Mount Lycabettus), என்பது கிரேக்க தலைநகரான ஏதென்சில் உள்ள ஒரு கிரீத்தேசிய சுண்ணக்கல் மலை ஆகும். இது கடல் மட்டத்திலிருந்து  277 மீட்டர் (908 அடி) உயரம் கொண்டதாக உள்ளது. இதன் உச்சி நடு ஏதென்சில் மிக உயரமான இடமாகும். இந்த மலையின் அடிவாரமானது பைன் மரங்கள்  நிறைந்ததாக உள்ளது. மலையின் கிழக்கே கீழே உள்ள குடியிருப்புப் பகுதியையும் இதே பெயரால் குறிக்கப்படுகிறது."
51,நந்தா தேவி,"நந்தா தேவி என்பது இந்தியாவின் இரண்டாவது உயரமான சிகரம். மலையின் முழுப்பகுதியும் இந்தியாவில் இருப்பவற்றில் இதுவே மிகவும் உயரமானது. இந்தியாவின் முதல் உயரமான கஞ்சன்சங்கா சிகரம் இந்தியா, நேபாளம் ஆகிய இருநாடுகளையும் தொட்டுக்கொண்டுள்ளது. இது இமயமலைத்தொடரின் கார்வால் பகுதியில் உத்தராகண்ட் மாநிலத்தின் சமோலி மாவட்டத்தில் உள்ளது."
52,டாய் மலை,"டாய் மலை (Mount Tai, சீனம்: 泰山; பின்யின்: Tài Shān) சீனாவின் சான்டோங் மாநிலத்தில் டாய் யன் நகரத்தின் வடக்கில் அமைந்துள்ள வரலாற்றுச் சிறப்புமிக்க, பண்பாட்டு மையமான மலையாகும். பச்சைக்கல் பேரரசர் சிகரம் (எளிய சீனம்: 玉皇顶; மரபுவழிச் சீனம்: 玉皇頂; பின்யின்: Yùhuáng Dǐng) இந்த மலையின் மிக உயர்ந்த சிகரமாகும்; இது உயரம் பொதுவாக 1,545 மீட்டர்கள் (5,069 ft) எனக் குறிப்பிடப்படுகின்றது;[2] ஆனால் சீன மக்கள் குடியரசு இதன் உயரத்தை 1,532.7 மீட்டர்கள் (5,029 ft)ஆகக் குறித்துள்ளது.[3]"
53,இதோம்,"இதோம் மலை (Mount Ithome) என்பது கிரேக்கத்தின் மெசேனியாவில் உள்ள இரட்டை சிகரங்களில் வடக்கே உள்ள ஒரு மலையாகும்.  இதோம் மலை சுமார் 800 மீட்டர்கள் (2,600 அடிகள்), 760 மீட்டர்கள் (2,490 அடிகள்) வரை  உயர்ந்து காணப்படுகிறது. அருகில் உள்ள மற்றொரு சிகரமான ஈவா மலை ( கிரேக்கம்: Εύα‎   ), 700 மீட்டர்கள் (2,300 அடிகள்) உயரம் கொண்டது. அது இதோமி மலையுன் 0.80 kiloமீட்டர்கள் (0.50 மைல்கள்) நீளமுள்ள மெல்லிய மேட்டினால் இணைக்கப்பட்டுள்ளது."
54,சாம்லாங்,"சாம்லாங் இமயமலையில் உள்ள ஒரு மலைத்தொடர் ஆகும். இதன் சிகரம் நேபாளம் நாட்டின் மகாலங்கூர் இமால்ன் தென் பகுதியில் அமைந்துள்ளது. இதன் சிகரம் மக்காலு அருகே அமைந்துள்ளது. சாம்லாங்கின் உயரம் 7,319 மீட்டர்கள் (24,012 ft) ஆகும்."
55,மேசை மலை,"மேசை மலை (Table Mountain, கோய்கோய் மொழி: ஹோரிக்வாகோ, ஆபிரிக்கான மொழி: டாபெல்பெர்கு) தென்னாப்பிரிக்காவின் கேப் டவுன் நகரத்திற்கு அருகிலுள்ள, முதன்மையான அடையாளச் சின்னமாக உருவாகியுள்ள தட்டைப் பரப்பு  மலை ஆகும். இது  கேப் டவுன் கொடியிலும் மற்ற அரசு சின்னங்களிலும் இடம் பெற்றுள்ளது.[2] குறிப்பிடத்தக்க சுற்றுலா ஈர்ப்புள்ள இந்த மலையில் வருகையாளர்களுக்காக தொங்கூர்திகள் அமைக்கப்பட்டுள்ளன; மலைநடை செல்வோருக்கும்  தடங்கள் அடையாளப்படுத்தப்பட்டுள்ளன. மேசை மலைத் தேசியப் பூங்காவின் அங்கமாக இந்த மலை உள்ளது."
56,எர்மோன் மலை,"எர்மோன் மலை (Mount Hermon, அரபு மொழி:  جبل حرمون , جبل الشيخ / ALA-LC: Jabal al-Shaykh / ""Mountain of the Chief"" ""Jabal Haramun""; எபிரேயம்: הר חרמון‎, Har Hermon, ""Mount Hermon"") என்பது லெபனான் கிழக்கு மலைத் தொடரிலுள்ள மலைக் கூட்டமாகும். இதன் சிகரம் சிரியாவிற்கும் லெபனானுக்கும் இடைப்பட்ட எல்லையில் பரவியுள்ள[1] இது கடல் மட்டத்திலிருந்து 2,814 மீட்டர் (9,232 அடி) உயரத்தில் அமைந்துள்ளதும், சிரியாவின் உயரமிக்க இடமுமாகும்.[2] சிரியாவிற்கும் இசுரேல் கைப்பற்றிய பகுதிக்கிடையிலான  ஐ.நா. ஈடுபாடற்ற நிலை அவதானிப்பு படை பிரதேசத்தில் உள்ள உச்சியில் “எர்மோன் உணவு விடுதி” அமைந்துள்ளது. இங்கே உலகில் அதிகளவு நிரந்தர ஐ.நா.வின் படைகள் அமர்த்தப்பட்டுள்ளன.[3] எர்மோன் மலையின் தென் சரிவுப் பகுதிகள் இசுரேல் கைப்பற்றிய கோலான் குன்றுகள் வரை பரவிக் காணப்படுகின்ற இடத்தில் ""எர்மோன் மலை பனி நடை ஓய்விடம்"" அமைந்துள்ளது.[4] இங்குள்ள உச்சி 2,236 மீட்டர் (7,336 அடி) வரை உயர்ந்து இசுரேலிய கட்டுப்பட்டுப் பிரதேசத்தில் உயரமான இடமாகக் காணப்படுகின்றது."
57,கார்மோ மலை,"கார்மோ மலை (தாஜிக் மொழி: Қуллаи Гармо, குல்லை கார்மோ, உருசிய மொழி: пик Гармо, பீக் கார்மோ)மத்திய ஆசியாவில் தஜிகிஸ்தானில் உள்ள பாமிர் மலைத் தொடரில் உள்ள ஒரு மலையாகும். இந்த மலையின் உயரமானது 6,595 மீட்டர்கள் முதல் 6,602 மீட்டர்கள் வரையில் இருக்கும் என அறிவிக்கப்பட்டுள்ளது.[2]"
58,ஐடா பாகுலா,ஐடா பாகுலா (Ida Facula) என்பது வியாழன் கோளின் மிகச்சிறிய நிலவுகளில் ஒன்றான அமால்தியாவில் காணப்படும் பிரகாசமான மலையாகும். 15 கிலோமீட்டர் நீளம் கொண்ட மலையாக ஐடா பாகுலா அறியப்படுகிறது. இதனை அடுத்துள்ள மலையான லைக்டாசு பாகுலா மலையைக் காட்டிலும் இது சிறியதாகும்[1]. 1979 ஆம் ஆண்டு வாயேசர் 1 ஐடா பாகுலாவை  கண்டறிந்த்து. கிரேக்கத் தீவுகளில் பெரியதும் மிகுந்த மக்கள்தொகை கொண்டதுமான தீவான கிரீட் தீவில் வானம் மற்றும் இடியின் கடவுளாகக் கருதப்படும் சியுசு கடவுள் குழந்தையாக விளையாடிய புனித மலை ஐடாவின் நினைவாக அமால்தியாவில் காணப்பட்ட மலைக்கு ஐடா பாகுலா என்று பெயரிடப்பட்டது[2]. முதலில் இம்மலையை எளிமையாக ஐடா என்றே அழைத்தார்கள்[1][3].
59,தில்லா ஜோகியன்,தில்லா ஜோகியன் (Tilla Jogian ) என்பது பாக்கித்தானின் பஞ்சாப் மாகாணத்தின் உப்பு மலைத்தொடரில்  மலையின் உச்சியில் அமைந்துள்ள ஒரு கைவிடப்பட்ட இந்து கோயில் மற்றும் துறவியின் வளாகமாகும்.
60,அரபா குன்று,".mw-parser-output .sidebar{width:22em;float:right;clear:right;margin:0.5em 0 1em 1em;background:#f8f9fa;border:1px solid #aaa;padding:0.2em;text-align:center;line-height:1.4em;font-size:88%;border-collapse:collapse;display:table}body.skin-minerva .mw-parser-output .sidebar{display:table!important;float:right!important;margin:0.5em 0 1em 1em!important}.mw-parser-output .sidebar-subgroup{width:100%;margin:0;border-spacing:0}.mw-parser-output .sidebar-left{float:left;clear:left;margin:0.5em 1em 1em 0}.mw-parser-output .sidebar-none{float:none;clear:both;margin:0.5em 1em 1em 0}.mw-parser-output .sidebar-outer-title{padding:0 0.4em 0.2em;font-size:125%;line-height:1.2em;font-weight:bold}.mw-parser-output .sidebar-top-image{padding:0.4em}.mw-parser-output .sidebar-top-caption,.mw-parser-output .sidebar-pretitle-with-top-image,.mw-parser-output .sidebar-caption{padding:0.2em 0.4em 0;line-height:1.2em}.mw-parser-output .sidebar-pretitle{padding:0.4em 0.4em 0;line-height:1.2em}.mw-parser-output .sidebar-title,.mw-parser-output .sidebar-title-with-pretitle{padding:0.2em 0.8em;font-size:145%;line-height:1.2em}.mw-parser-output .sidebar-title-with-pretitle{padding:0.1em 0.4em}.mw-parser-output .sidebar-image{padding:0.2em 0.4em 0.4em}.mw-parser-output .sidebar-heading{padding:0.1em 0.4em}.mw-parser-output .sidebar-content{padding:0 0.5em 0.4em}.mw-parser-output .sidebar-content-with-subgroup{padding:0.1em 0.4em 0.2em}.mw-parser-output .sidebar-above,.mw-parser-output .sidebar-below{padding:0.3em 0.8em;font-weight:bold}.mw-parser-output .sidebar-collapse .sidebar-above,.mw-parser-output .sidebar-collapse .sidebar-below{border-top:1px solid #aaa;border-bottom:1px solid #aaa}.mw-parser-output .sidebar-navbar{text-align:right;font-size:115%;padding:0 0.4em 0.4em}.mw-parser-output .sidebar-list-title{padding:0 0.4em;text-align:left;font-weight:bold;line-height:1.6em;font-size:105%}.mw-parser-output .sidebar-list-title-c{padding:0 0.4em;text-align:center;margin:0 3.3em}@media(max-width:720px){body.mediawiki .mw-parser-output .sidebar{width:100%!important;clear:both;float:none!important;margin-left:0!important;margin-right:0!important}}"
61,மூருட் மலை,"மூருட் மலை (மலாய் மொழி: Gunung Murud; ஆங்கிலம்: Mount Murud) என்பது மலேசியாவில் ஐந்தாவது உயர்ந்த மலையாகும். அதே வேளையில் சரவாக் மாநிலத்தில் மிகவும் உயர்ந்த மலை என்று தடம் பதிக்கிறது. இந்த மலையின் உயரம் 2,424 மீட்டர், (7,946 அடி). சரவாக் லிம்பாங் பிரிவு மாவட்டத்தில் அமைந்து உள்ளது.[1]"
62,ரிஞ்சனி மலை,"ரிஞ்சனி மலை (Mount Rinjani; அல்லது ரிஞ்சனி குனுங் (Gunung Rinjani) இது தென்கிழக்காசியா, மற்றும் ஓசியானியா என இரு கண்ட நாடான இந்தோனேசியாவின் மேற்கு நுசா டென்காரா மாகாணத்தில், உள்ள லொம்போத் தீவில் அமைந்துள்ள ஒரு எரிமலையாகும். 3.726 மீட்டர் (12,224 அடி) உயரமுடைய இது, இந்தோனேசியாவின் இரண்டாவது மிக உயர்ந்த எரிமலையாக விளங்குகிறது.[2] மேலும் இம்மலை நிர்வாக ரீதியாக, மேற்கு நுசா டென்காரா பகுதியின் வட லொம்போ (இந்தோனேசியன்: நுசா டென்காரா பாராட், NTB). ஆட்சியின் கீழ் உள்ளது.[3]"
63,கயிலை மலை,"கயிலாய மலை, கைலை மலை, கைலாச மலை, திருக்கயிலாய மலை அல்லது கைலாசம் அல்லது கைலாயம் இமயமலை உள்ள கயிலை மலைதொடரில் உள்ள ஒரு புகழ் பெற்ற பர்வதம் ஆகும். இதன் உயரம் 6,638 மீ. இம்மலையில் இருந்துதான் பெரும் சிந்து நதி, சட்லெச்சு ஆறு, காக்ரா ஆறு மற்றும் பிரம்மபுத்திரா ஆறுகள் உற்பத்தியாகின்றன. இதனருகே புகழ் பெற்ற மானசரோவர் நன்னீர் ஏரியும், இராட்சதலம் எனும் உப்பு நீர் ஏரியும் உள்ளன.[1] மானசரோவர் ஏரி உலகிலேயே மிக உயரத்தில் உள்ள நன்னீர் ஏரியாகும். இங்கு வரும் யாத்திரிகர்கள் இந்த ஏரியில் புனித நீராடுவது வழக்கம். இந்த கயிலை பர்வதத்தின் அடிவாரத்தைச் சுற்றி வலம் வருவதைத்தான் பக்தர்கள் புனித கடமையாகக் கருதுகிறார்கள். 52 கிலோ மீட்டர் தொலைவு கொண்ட இந்த கிரிவலம் பாதையில் பயணிக்க குறைந்தபட்சம் 15 மணி நேரம் ஆகும்."
64,விட்னி மலை,"விட்னி மலை (Mount Whitney) ஐக்கிய அமெரிக்காவின் 48 தொடர் மாநிலங்களில் (48 contiguous states) மிக உயரமான மலையாகும். 4,421 மீட்டர் உயரமான இம்மலை கலிபோர்னியா மாநிலத்தின் கிழக்கில் அமைந்த செக்குவோயா தேசியப் பூங்காவில் அமைந்துள்ளது. சியெறா நெவாடா மலைத்தொடரைச் சேர்ந்தது."
65,குவாத்தமாலா தீ எரிமலை,"குவாத்தமாலா தீ எரிமலை என்பது குவாத்தமாலாவில் உள்ள ஒரு சுழல்வடிவ எரிமலை ஆகும். இது சிமிலிந்தாங்கோ, எஸ்க்யுன்ட்லா மற்றும் சேக்கெபேக்ஸ் துறைகள் ஆகியவற்றின் எல்லைகளில் அமைந்துள்ளது.இது அன்டிகுவாவின் மேற்கில் சுமார் 16 கிலோமீட்டர் (9.9 மைல்) உள்ளது. இது குவாத்தமாலாவின் புகழ்பெற்ற நகரங்களில் ஒன்றாகும்.இது 2018 ஆம் ஆண்டு ஜூன் மாதத்திற்கு   பின்னர் அடிக்கடி வெடித்தது.[1][2][3][4]"
66,பினாங்கு மலை,"பினாங்கு மலை (மலாய் மொழி: Bukit Bendera; ஆங்கிலம்: Penang Hill) என்பது மலேசியாவில் ஒரு மலை வாழிடமாகும்.[1] பினாங்குத் தீவில், இந்த மலை வாழிடம் அமைந்து உள்ளது. பினாங்கு மாநிலத்தின் ஜார்ஜ் டவுன், பினாங்கு தலைநகர் மையத்தில் இருந்து 6 கி.மீ. தொலைவில் உள்ளது.[2] பினாங்கு மலையை, மலேசியத் தமிழர்கள் கொடி மலை (Flagstaff Hill) என்று அழைக்கிறார்கள்."
67,துருஸ்மாடி மலை,"துருஸ்மாடி மலை (மலாய் மொழி: Gunung Trusmadi; ஆங்கிலம்: Mount Trusmadi) என்பது மலேசியாவில் இரண்டாவது உயர்ந்த மலையாகும். இது சபா, தம்புனான் மாவட்டத்தில், தம்புனான் நகரில் இருந்து 20 கி.மீ. தொலைவில் இருக்கிறது. மலேசியாவில் மிக உயர்ந்த மலையான கினபாலு மலைக்கு அருகாமையில் இருக்கும் இந்த மலையின் உயரம் 2,642 மீட்டர், (8,669 அடி).[1]"
68,மார்சபிட் மலை,"மார்சபிட் மலை (Mount Marsabit) என்பது 6300 கிமீ² கென்யாவில் உள்ள கேடய எரிமலை ஆகும்,  கிழக்கு ஆப்பிரிக்க பிளவு மையத்திலிருந்து 170 கிமீ கிழக்கில்,  மார்சபைட் கவுண்டியில் மார்சபிட்  நகருக்கு அருகில் உள்ளது.  இது முதன்மையாக ஓலிகோசைன் மற்றும் பியோசைன் சகாப்தங்களுக்கு இடைபட்டக் காலத்தின் போது உருவானது, சில எரிமலை குமுறல்கள் சமீபத்தில் ஏற்பட்டது."
69,லோக்கோன் மலை,"லோக்கோன் மலை (Mount Lokon), என்பது இந்தோனேசியாவின் சுலாவெசி தீவில் அமைந்துள்ள இரட்டை எரிமலைகளுள் ஒன்றாகும். இதற்கு 2.2 கிமீ தூரத்தில் எம்புங் மலை காணப்படுகிறது. இத்தீவின் டொண்டானோ சமவெளிக்கு மேலாக இரண்டு எரிமலைகளும் உயர்து காணப்படுகின்றன. சுலாவெசி தீவில் உள்ள உயிர்ப்புள்ள எரிமலைகளில் இதுவும் ஒன்றாகும். லோக்கோன் எரிமலை தட்டையானதும், பெருவாய் அற்றது ஆகும்[1]"
70,பாரன் தீவு,"பாரன் தீவு (Barren Island)  என்பது இந்திய ஒன்றியம், அந்தமான் நிகோபார் தீவுக்கூட்டத்தைச் சேர்ந்த ஒரு தீவாகும். இத்தீவு  அந்தமான் கடலில் உள்ளது. இது அந்தமான் தீவுச் சங்கிளியின் கிழக்கில் தொலைவில் உள்ள ஒரு தீவாகும்.  இங்குதான் தெற்காசியாவிலேயே   விழித்திருக்கும் ஒரே  எரிமலை உள்ளது என உறுதி செய்யப்பட்டுள்ளது. இது ஆட்சிப்பகுதியின் தலைநகரான போர்ட் பிளேரில் இருந்து வடகிழக்காக 135 km (84 mi)  தொலைவில் உள்ளது. இதில் உள்ள எரிமலை வெடிப்பு குறித்து முதல் பதிவு கி.பி. 1787 முதல் உள்ளது, அப்போதுமுதல்  பத்துமுறைக்கு மேல் எரிமலை வெடித்துள்ளது. மிக அண்மையில் செப்டம்பர் 2010 மற்றும் சனவரி  2011 இல் வெடித்துள்ளது.[1]"
71,மீரா (சிகரம்),"இது இமயமலையில் உள்ள பாருன் பகுதியின் ஒரு சிகரம் ஆகும்.ஆனால் இதன் நிர்வாகம் சோலுகும்பு மாவட்டம் சாகர்மாதாவின் கட்டுப்பாட்டில் உள்ளது. இதன் 21,247 அடிகள் உயர்த்தில் உள்ள சிகரம் ஒரு சிறந்த மலையேற்ற சிகரமாக அறியப்படுகிறது.[2]"
72,கெந்திங் மலை,"கெந்திங் மலை (மலாய் மொழி: Tanah Tinggi Genting; ஆங்கிலம்: Genting Highlands) என்பது மலேசியாவில் ஒரு மலை வாழிடமாகும். பகாங் - சிலாங்கூர் மாநிலங்களின் எல்லைப் பகுதிகளில், தித்திவாங்சா மலைத் தொடரில் இந்த மலை வாழிடம் அமைந்து உள்ளது.[1] இங்கு குளிர்மையான தட்ப வெட்ப நிலை நிலவுகிறது."
73,பேய்க் கோபுரம்,"பேய்க் கோபுரம் (Devils Tower, லகோட்டா மொழி: Matȟó Thípila (""கரடி வீடு"") அல்லது Ptehé Ǧí (""கறுப்பு எருமைக் கொம்பு"") (அரபாகோ மொழி: Wox Niiinon [5]) என்பது தென்கிழக்கு வயோமிங்கின் குறூக் கவுண்டியில் அமைந்துள்ள ஓர் தீப்பாறை குவிவளை முகடு ஆகும். இது 1,267 அடி (386 மீ) உயரத்திற்கு சூழவுள்ள நிலப்பிரதேசத்திலிருந்து உயர்ந்தும், கடல் மட்டத்திலிருந்து இதன் சிகரம் 5,114 அடி (1,559 மீ) உயரத்திலும் உள்ளது."
74,பாங்கயான் மலைகள்,"பாங்கயான் மலைகள் (Pangaion Hills, கிரேக்கம்: Παγγαίο‎     ; பண்டைக் கிரேக்கம்: Καρμάνιον ) என்பது கிரேக்கத்தில் உள்ள ஒரு மலைத் தொடர் ஆகும். இது கவாலாவிலிருந்து தோராயமாக 40 கி.மீ. தொலைவில் உள்ளது. இதில் மிக உயர்ந்த சிகரம் 1,956 மீ கொண்ட கூத்ரா சிகரம் ஆகும். இதன் தெற்கே ஏஜியன் கடலும்,  வடக்கே பிலிப்பி - கவாலா சமவெளிகளும் உள்ளன. இந்த மலைத்தொடரின் ஒரு பகுதி செர்ஸ் பிராந்திய அலகின் தென்கிழக்கு பகுதியிலும்,  கவாலா பிராந்திய அலகின் வடமேற்கு பகுதி மலைகளின் பெரும் பகுதியையும் உள்ளடக்கியதாக உள்ளது."
75,மிகிந்தலை,"மிகிந்தலை (Mihintale, சிங்களம்: මිහින්තලය), இலங்கையில் உள்ள எச்சக்குன்றுகளில் ஒன்றாகும். ஆயிரக்கணக்கான ஆண்டுகளாக தொடர்ந்து ஏற்படும் இயற்கை அனர்த்தங்களினால் மண் உள்ளீர்க்கப்பட்டு, இத்தகைய எச்சக்குன்றுகள் உருவாகின்றன. மகிந்த தேரரின் வருகைக்குப் பின் இந்த எச்சக்குன்றுகள் புண்ணிய இடமாக மாற்றம் பெற்றன. இதனால், வரலாற்றுச் சிறப்பு மிக்க நினைவுச் சின்னங்கள், புதை பொருட்கள் என்பன இங்கு காணப்படுகின்றன. இவை அனுராதபுரக் காலப்பகுதிக்கு உரியவையாகும். வரலாற்றுச் சிறப்பு மிக்க மிகிந்தலை ஒரு சரணாலயம் ஆகும். இது அநுராதபுரத்திலிருந்து 8 கிலோ மீற்றர் கிழக்கு நோக்கி அமைந்துள்ளது. இதன் அமைவிடம் வடக்கில் 80 பாகை ஆகவும் அநுராதபுரம் மாவட்டத்தில் உள்ள தனிமையான மலைக்குன்றுப் பகுதியாகவும் காணப்படுகின்றது. இதில் மிகிந்தலை மலை, எத்வெகர மலை, ஆனைக்குட்டி மலை மற்றும் ராஜகலலென மலை ஆகிய நான்கு மலைகள் உள்ளடங்கியுள்ளன. ஆயினும், பண்டைய காலத்தில் 'மிஸ்ஸக்க பவ்வ' என்ற பொதுப்பெயரால் இது அழைக்கப்பட்டிருந்தது. இந்த மலை 1,000 அடிகளைவிடக் குறைந்தது. மலையின் அனைத்துப் பகுதிகளிலும் கற்பாறைகள், கற்குன்றுகள் போன்றவை காணப்படுகிண்றன. இந்த மலைத் தொடர்ச்சி வடகிழக்குத் திசையை நோக்கிச் செல்கின்றது."
76,பிதுருதலாகலை,"பிதுருதலாகலை (Pidurutalagala, சிங்களம்: පිදුරුතලාගල) இலங்கையின் மிக உயர்ந்த மலையாகும். கடல் மட்டத்திலிருந்து 2524 மீட்டர் (8200 அடி) உயரமான இம்மலை, இலங்கையின் மத்திய மலைநாட்டிலுள்ள நுவரெலியா மாவட்டத்தில் அமைந்துள்ளது. இலங்கை ரூபவாகினி கூட்டுத்தாபனத்தின் மத்திய ஒளிபரப்பு கோபுரமும் இம்மலையிலேயே அமைந்துள்ளது."
77,தராவெரா சிகரம்,தராவெரா சிகரம் நியூசிலாந்து நாட்டின் வடக்கு தீவில் உள்ள ஓர் எரிமலை ஆகும். இது இந்நாட்டில் நடந்த மிகப்பெரிய எரிமலை வெடிப்புக்கு காரணமான சிகரம் ஆகும்.[1] 1886ல் இந்த சிகரத்தில் நடந்த எரிமலை வெடிப்பில் சிக்கி 120 மக்கள் கொல்லப்பட்டனர். [2]
78,ஸ்கோபஸ் மலை,"ஸ்கோபஸ் மலை (Mount Scopus, எபிரேயம் הַר הַצּוֹפִים (Har HaTsofim), அரபு மொழி: جبل المشارف, Ǧabal al-Mašārif, lit. ""Mount Lookout""), جبل المشهد Ǧabal al-Mašhad, جبل الصوانة) ஆனது வடகிழக்கு ஜெருசலேமில் உள்ள ஒரு மலையாகும் (உயரம்: கடல் மட்டத்திலிருந்து 2710 அடி அல்லது 826 மீட்டர் ). 1948 அரபு - இசுரேல் போரின் காரணமாக ஸ்கோபஸ் மலையானது ஐக்கிய நாடுகள் சபையால் பாதுகாக்கப்பட்ட, ஜோர்தானால் நிர்வகிக்கப்பட்ட பகுதியினால் சூழப்பட்ட இஸ்ரேலின் பகுதியாக 1967 ஆம் ஆண்டு ஆறு நாள் போர் வரை இருந்தது. தற்போது ஜெருசலேம் நகரின் எல்லைப் பகுதியில் அமைந்துள்ளது."
79,டை மோ சான் மலை,"டை மோ சான் மலை (  சீன: 大帽山  , ஆங்கிலம்: Tai Mo Shan  ) என்பது ஹொங்கொங்கில் உள்ள அதிக உயரமான மலை குன்றாகும். இம்மலை குன்றின் உயரம் 957 மீட்டர்களாகும். இது ஹொங்கொங் புதிய கட்டுப்பாட்டகம் பகுதியில் அமைந்துள்ளது. இது 14.40 கிலோ மீட்டர் பரப்பளவைக் கொண்டுள்ளது. இது ஹொங்கொங்கின் தேசிய வனப்பகுதியில் அமைந்துள்ளது. இது ஹொங்கொங்கில் உள்ள இன்னுமொரு மலைத்தொடரான டய் லாம் தேசிய வனம் பகுதியை வடக்காக கொண்டுள்ளது."
